DJQMC,DJZQMC,DJZQDM,JDJH
双龙湖街道,方家山社区,500112002021,YB0023020110000
回兴街道,白鹤村,500112004020,YB0043010110000
两路街道,沙坪村,500112016014,YB0303010110000
双凤桥街道,中建村,500112017012,YB0013010110000
双凤桥街道,兴旺村,500112017204,YB0013020110000
玉峰山镇,中心村,500112129201,YB0073040110000
玉峰山镇,石岩村,500112129202,YB0073080110000
玉峰山镇,环山村,500112129203,YB0073020110000
玉峰山镇,桐桷村,500112129204,YB0073090110000
玉峰山镇,香溪村,500112129205,YB0073100110000
玉峰山镇,龙门村,500112129206,YB0073070110000
玉峰山镇,双井村,500112129207,YB0073060110000
玉峰山镇,龙井村,500112129208,YB0073010110000
玉峰山镇,玉峰村,500112129209,YB0073050110000
玉峰山镇,旱土村,500112129210,YB0073030110000
龙兴镇,粉壁村,500112131201,YB0083080110000
龙兴镇,高寨村,500112131202,YB0083090110000
龙兴镇,璧山村,500112131203,YB0083070110000
龙兴镇,白桥村,500112131204,YB0083100110000
龙兴镇,石溪村,500112131205,YB0083110110000
龙兴镇,河堰村,500112131206,YB0083120110000
龙兴镇,寨子村,500112131207,YB0083130110000
龙兴镇,同乐村,500112131208,YB0083140110000
龙兴镇,石门村,500112131209,YB0083150110000
龙兴镇,双河村,500112131210,YB0083020110000
龙兴镇,天堡村,500112131211,YB0083160110000
龙兴镇,大岭村,500112131212,YB0083170110000
龙兴镇,支援村,500112131213,YB0083180110000
龙兴镇,下坝村,500112131214,YB0083010110000
龙兴镇,人民村,500112131215,YB0083190110000
龙兴镇,金沙村,500112131216,YB0083030110000
龙兴镇,洞口村,500112131217,YB0083060110000
龙兴镇,排花洞村,500112131218,YB0083040110000
龙兴镇,高洞村,500112131219,YB0083200110000
龙兴镇,和平村,500112131220,YB0083210110000
龙兴镇,高笋村,500112131221,YB0083050110000
木耳镇,新合村,500112139201,YB0173080110000
木耳镇,白房村,500112139202,YB0173010110000
木耳镇,新乡村,500112139203,YB0173090110000
木耳镇,举人坝村,500112139204,YB0173120110000
木耳镇,学堂村,500112139205,YB0173100110000
木耳镇,垭口村,500112139206,YB0173110110000
木耳镇,白云山村,500112139207,YB0173020110000
木耳镇,石鞋村,500112139208,YB0173060110000
木耳镇,五通庙村,500112139209,YB0173070110000
木耳镇,石坪村,500112139210,YB0173050110000
木耳镇,金刚村,500112139211,YB0173030110000
木耳镇,良桥村,500112139212,YB0173040110000
石船镇,太洪村,500112142201,YB0134300110000
石船镇,重桥村,500112142202,YB0134310110000
石船镇,金桥村,500112142203,YB0133040110000
石船镇,河水村,500112142204,YB0133030110000
石船镇,凉水村,500112142205,YB0134320110000
石船镇,石河村,500112142206,YB0134330110000
石船镇,梅溪村,500112142207,YB0134340110000
石船镇,石翔村,500112142208,YB0133850110000
石船镇,胆沟村,500112142209,YB0134070110000
石船镇,胜天村,500112142210,YB0134180110000
石船镇,金滩村,500112142211,YB0134350110000
石船镇,葛口村,500112142212,YB0133960110000
石船镇,石龙村,500112142213,YB0133070110000
石船镇,黄岭村,500112142214,YB0133080110000
石船镇,战旗村,500112142215,YB0133060110000
石船镇,天坪村,500112142216,YB0133050110000
石船镇,麻柳村,500112142217,YB0133630110000
石船镇,共和村,500112142218,YB0133410110000
石船镇,民利村,500112142219,YB0133300110000
石船镇,民主村,500112142220,YB0133520110000
石船镇,大堰村,500112142221,YB0134290110000
石船镇,青杠村,500112142222,YB0133740110000
石船镇,石垭社区,500112142223,YB0133190110000
石船镇,石壁村,500112142224,YB0133010110000
石船镇,关兴村,500112142225,YB0133020110000
洛磧镇,经开村,500112144201,YB0103170110000
洛磧镇,箭沱村,500112144202,YB0103160110000
洛磧镇,太洪场村,500112144203,YB0103150110000
洛磧镇,桂湾村,500112144204,YB0103140110000
洛磧镇,宝华村,500112144205,YB0103110110000
洛磧镇,新石村,500112144206,YB0103100110000
洛磧镇,高桥村,500112144207,YB0103120110000
洛磧镇,上坝村,500112144208,YB0103130110000
洛磧镇,洛磧村,500112144209,YB0103090110000
洛磧镇,青木村,500112144210,YB0103080110000
洛磧镇,沙地村,500112144211,YB0103060110000
洛磧镇,沙湾村,500112144212,YB0103050110000
洛磧镇,砖房村,500112144213,YB0103040110000
洛磧镇,幸福村,500112144214,YB0103070110000
洛磧镇,水溶洞村,500112144215,YB0103010110000
洛磧镇,老君山村,500112144216,YB0103030110000
洛磧镇,大天池村,500112144217,YB0103020110000
